sample_name;total_seq;total_reads;duplicates;mapped;properly_pair;with_mat_to_another_chr;uniq_mapped;uniq_mapped_vs_total_reads;duplicates_vs_total_reads;mapped_vs_total_seq;properly_pair_vs_total_seq;with_mat_to_another_chr_vs_total_seq;samtools_depth;stdev_samtools_depth
c_lc_zz_0001;396464366;407565585;27219202;401415638;367423540;16552305;374196436;91.81256;6.67848;101.24885;92.67504;4.17497;20.9285;23.0591
c_lc_zz_0003;635442652;655641578;55924476;651019230;596791980;24553702;595094754;90.76525;8.52973;102.45129;93.91752;3.86403;27.3551;41.4632
c_ll_cr_0212;340927948;350319950;21697902;345226521;316671540;13990285;323528619;92.35232;6.19373;101.26084;92.88518;4.10358;18.0962;19.8392
c_ll_ki_0090;388873910;399406209;25825068;394045249;361975514;16070404;368220181;92.1919;6.46586;101.32982;93.083;4.13254;20.6309;23.5899
c_ll_vl_0112;541523148;555433311;57459658;548885059;504844000;20935817;491425401;88.47604;10.34501;101.35948;93.22667;3.86609;27.2747;39.6748
c_ll_ya_0146;417499884;429457682;39091613;425014730;388404038;18922292;385923117;89.86289;9.10255;101.79996;93.03093;4.53228;21.5995;28.1892
c_lp_do_0153;713466052;721973816;84000432;693068135;629488958;24696434;609067703;84.36146;11.63483;97.14101;88.2297;3.46147;22.795;22.3205
c_lp_do_0173;746529288;755477940;116875455;722650012;649896356;27655977;605774557;80.18428;15.47039;96.80129;87.0557;3.7046;22.6208;33.9985
c_lp_do_0443;757217440;766571371;115543754;728598501;651351510;27548364;613054747;79.9736;15.07279;96.22051;86.01908;3.6381;23.0473;25.9684
c_lp_sm_0138;748151854;757233899;88317657;722059253;653986434;26970674;633741596;83.69165;11.66319;96.51239;87.41359;3.60497;23.6999;21.5224
c_lp_sm_0140;753388788;762020126;112184070;716002155;648254946;25155723;603818085;79.23912;14.72193;95.03753;86.0452;3.339;22.355;22.1606
c_lp_sm_0185;703607624;711824226;74453634;674633010;612729610;23149645;600179376;84.31567;10.45955;95.88199;87.08399;3.29013;22.595;20.7096
c_lp_sm_0186;748427854;757255480;92387227;707932999;646336788;24779800;615545772;81.2864;12.20027;94.58934;86.35926;3.31091;23.1746;21.716
c_lp_sm_0221;680439352;689959679;28677530;671676742;611000468;22452196;642999212;93.19373;4.1564;98.71221;89.79499;3.29966;27.197;29.5724
c_lp_sm_0298;811608424;821182518;123326837;779654222;717495248;26326737;656327385;79.92466;15.0182;96.06285;88.40411;3.24377;24.6887;24.4461
c_lp_sm_0359;809014178;818569868;107246933;780803731;712331248;27587101;673556798;82.28458;13.10174;96.51298;88.04929;3.40996;24.8807;24.0644
c_lr_fl_0005;511680522;520043738;20861228;507463947;475979150;17505984;486602719;93.56957;4.01143;99.17593;93.02272;3.42127;22.9177;24.2481
c_lr_nm_0006;473259562;489856617;21972722;484232691;443854924;18092641;462259969;94.36638;4.48554;102.31862;93.78678;3.82298;24.526;34.5211
c_lr_zz_0001;459790332;472027758;36218852;466157499;430083442;17727092;429938647;91.08333;7.67303;101.38479;93.53903;3.85547;24.1941;25.1919
h_lp_do_0007;708414840;716882340;102728030;684289839;622612842;24924713;581561809;81.12374;14.32983;96.5945;87.88817;3.51837;21.736;21.8167
